name,cardType,icon,description,status,price,path
MonsterReborn,Spell,Normal,Target 1 monster in either GY; Special Summon it.,Limited,2500,Cards\SpellTrap\MonsterReborn.jpg
Terraforming,Spell,Normal,Add 1 Field Spell from your Deck to your hand.,Limited,2500,Cards\SpellTrap\Terraforming.jpg
PotofGreed,Spell,Normal,Draw 2 cards.,Limited,2500,Cards\SpellTrap\PotofGreed.jpg
Raigeki,Spell,Normal,Destroy all monsters your opponent controls.,Limited,2500,Cards\SpellTrap\Raigeki.jpg
ChangeofHeart,Spell,Normal,Target 1 monster your opponent controls; take control of it until the End Phase.,Limited,2500,Cards\SpellTrap\ChangeofHeart.jpg
SwordsofRevealingLight,Spell,Normal,"After this card's activation, it remains on the field, but destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack.",Unlimited,2500,Cards\SpellTrap\SwordsofRevealingLight.jpg
HarpiesFeatherDuster,Spell,Normal,Destroy all Spells and Traps your opponent controls.,Limited,2500,Cards\SpellTrap\HarpiesFeatherDuster.jpg
DarkHole,Spell,Normal,Destroy all monsters on the field.,Unlimited,2500,Cards\SpellTrap\DarkHole.jpg
SupplySquad,Spell,Continuous,"Once per turn, if a monster(s) you control is destroyed by battle or card effect: Draw 1 card.",Unlimited,4000,Cards\SpellTrap\SupplySquad.jpg
SpellAbsorption,Spell,Continuous,"Each time a Spell Card is activated, gain 500 Life Points immediately after it resolves.",Unlimited,4000,Cards\SpellTrap\SpellAbsorption.jpg
Messengerofpeace,Spell,Continuous,"Monsters with 1500 or more ATK cannot declare an attack. Once per turn, during your Standby Phase, pay 100 LP or destroy this card.",Unlimited,4000,Cards\SpellTrap\Messengerofpeace.jpg
TwinTwisters,Spell,Quick-play,"Discard 1 card, then target up to 2 Spells/Traps on the field; destroy them.",Unlimited,3500,Cards\SpellTrap\TwinTwisters.jpg
Mysticalspacetyphoon,Spell,Quick-play,Target 1 Spell/Trap on the field; destroy that target.,Unlimited,3500,Cards\SpellTrap\Mysticalspacetyphoon.jpg
Ringofdefense,Spell,Quick-play,When a Trap effect that inflicts damage is activated: Make that effect damage 0.,Unlimited,3500,Cards\SpellTrap\Ringofdefense.jpg
Yami,Spell,Field,"All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.",Unlimited,4300,Cards\SpellTrap\Yami.jpg
Forest,Spell,Field,"All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.",Unlimited,4300,Cards\SpellTrap\Forest.jpg
ClosedForest,Spell,Field,All Beast-Type monsters you control gain 100 ATK for each monster in your Graveyard. Field Spell Cards cannot be activated. Field Spell Cards cannot be activated during the turn this card is destroyed.,Unlimited,4300,Cards\SpellTrap\ClosedForest.jpg
Umiiruka,Spell,Field,Increase the ATK of all WATER monsters by 500 points and decrease their DEF by 400 points.,Unlimited,4300,Cards\SpellTrap\Umiiruka.jpg
Swordofdarkdestruction,Spell,Equip,A DARK monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,Unlimited,4300,Cards\SpellTrap\Swordofdarkdestruction.jpg
BlackPendant,Spell,Equip,The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard: Inflict 500 damage to your opponent.,Unlimited,4300,Cards\SpellTrap\BlackPendant.jpg
UnitedWeStand,Spell,Equip,The equipped monster gains 800 ATK/DEF for each face-up monster you control.,Unlimited,4300,Cards\SpellTrap\UnitedWeStand.jpg
MagnumShield,Spell,Equip,"Equip only to a Warrior-Type monster. Apply this effect, depending on its battle position. Attack Position: It gains ATK equal to its original DEF. Defense Position: It gains DEF equal to its original ATK.",Unlimited,4300,Cards\SpellTrap\MagnumShield.jpg
AdvancedRitualArt,Spell,Ritual,This card can be used to Ritual Summon any 1 Ritual Monster. You must also send Normal Monsters from your Deck to the Graveyard whose total Levels equal the Level of that Ritual Monster.,Unlimited,3000,Cards\SpellTrap\AdvancedRitualArt.jpg
Nothing,9,9,9,9,9,Cards\SpellTrap\12.png
